dataset,file_id,file_size_GB,file_loc,P_hateful,P_targeted,P_aggressive,file_ind
400m,400m_0,1.6794,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00000-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.294,0.097,0.017,laion400m-meta_00000
400m,400m_1,1.68,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00001-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.3,0.0689999999999999,0.012,laion400m-meta_00001
400m,400m_2,1.6792,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00002-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.306,0.08,0.011,laion400m-meta_00002
400m,400m_3,1.6797,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00004-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.298,0.084,0.0139999999999999,laion400m-meta_00004
400m,400m_4,1.6797,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00003-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.303,0.087,0.016,laion400m-meta_00003
400m,400m_5,1.6795,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00005-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.281,0.08,0.021,laion400m-meta_00005
400m,400m_6,1.6796,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00006-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.309,0.082,0.009,laion400m-meta_00006
400m,400m_7,1.6797,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00007-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.335,0.105,0.02,laion400m-meta_00007
400m,400m_8,1.6795,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00008-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.308,0.087,0.016,laion400m-meta_00008
400m,400m_9,1.6799,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00009-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.294,0.086,0.012,laion400m-meta_00009
400m,400m_10,1.6796,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00010-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.2799999999999999,0.076,0.011,laion400m-meta_00010
400m,400m_11,1.6801,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00011-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.292,0.08,0.022,laion400m-meta_00011
400m,400m_12,1.6794,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00012-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.312,0.103,0.015,laion400m-meta_00012
400m,400m_13,1.6795,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00013-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.292,0.0809999999999999,0.011,laion400m-meta_00013
400m,400m_14,1.6794,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00014-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.263,0.082,0.012,laion400m-meta_00014
400m,400m_15,1.6794,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00015-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.297,0.083,0.0139999999999999,laion400m-meta_00015
400m,400m_16,1.6802,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00016-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.299,0.08,0.02,laion400m-meta_00016
400m,400m_17,1.6797,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00017-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.2749999999999999,0.079,0.009,laion400m-meta_00017
400m,400m_18,1.6795,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00018-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.282,0.098,0.026,laion400m-meta_00018
400m,400m_19,1.6801,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00019-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.287,0.076,0.012,laion400m-meta_00019
